textile_type,qty_exported,countries_exported,type_of_product,per_unit_cost,total_price,year_of_export,month_of_export,customer_name,seller_name
jute,16,Vietnam,Bags,92.99,1487.84,2021,Mar,Matthew Spencer,Stephanie Nelson
jute,428,Japan,Scarf,64.05,27413.4,2022,Jun,Adam Ramirez,James Harrison
wool,421,Vietnam,Headwear,0.99,416.79,2020,Apr,Lawrence Owen,Jennifer Brown
linen,496,Bangladesh,Bags,92.41,45835.36,2022,Jul,John Miller,John Rhodes
batik,229,Malaysia,Shawl,62.39,14287.31,2021,May,Tyler Jones,Chloe Smith
spandex,308,Indonesia,Scarf,18.92,5827.36,2021,Mar,Theresa Martin,Tammy Baker
batik,113,Indonesia,Shirt,54.63,6173.19,2021,May,Amanda Ballard,Raymond Davis
batik,265,Indonesia,Shirt,88.61,23481.65,2020,Jul,Brian Davis,Elizabeth Mayer
batik,30,Vietnam,Skirt,54.35,1630.5,2020,Jan,Kristina Wilkinson,Daniel Donovan
wool,227,Hong Kong,Skirt,85.93,19506.11,2021,May,Wendy Obrien,Shannon Bryant
polyester,330,United Kingdom,Jacket,0.57,188.1,2021,Jan,Jeffrey Ochoa,Cynthia Johnson
batik,405,Italy,Dress,19.92,8067.6,2020,Jul,April Cruz,James Armstrong
batik,38,Vietnam,Skirt,86.36,3281.68,2021,Jul,James Mcconnell,Christopher Palmer
silk,62,Bangladesh,Scarf,87.42,5420.04,2020,Jul,David Rodriguez,Latoya Taylor
silk,83,China,Scarf,49.98,4148.34,2022,Feb,Mason Fowler,Daniel Meyer
nylon,142,China,Skirt,40.24,5714.08,2021,Feb,Marilyn Curtis,Timothy Johnson
batik,145,Malaysia,Shirt,99.1,14369.5,2020,Nov,Larry Rodgers,Jeffrey Sanchez
polyester,302,Japan,Dress,57.74,17437.48,2022,Aug,Brett Patton,Steven Rose
batik,64,Pakistan,Shawl,56.27,3601.28,2022,Sep,Brian Chambers,Jesus Morrow
jute,372,Bangladesh,Shirt,6.31,2347.32,2020,Jan,Alicia Paul,Michael Allen
cotton,487,China,Shirt,52.0,25324.0,2020,Aug,Kimberly Powell,Ashley Scott
batik,259,India,Bags,28.45,7368.55,2020,Oct,Robert Guerrero,Jason Jenkins
spandex,49,Japan,Headwear,35.17,1723.33,2022,Dec,Mrs. Sarah Reed,Linda Thomas
silk,363,Malaysia,Blouse,58.86,21366.18,2022,Mar,Patricia Perry,Allison Richard
nylon,145,Hong Kong,Scarf,11.04,1600.8,2021,Dec,Robert Melton,Jessica Jackson
batik,220,Turkey,Blouse,30.76,6767.2,2021,Jul,Dennis Payne,Michael Dillon
linen,88,Indonesia,Scarf,4.28,376.64,2020,Jun,Keith Ellis,Brian Smith
batik,386,Indonesia,Shawl,88.66,34222.76,2021,Nov,Kyle Gonzalez,Austin Vance
batik,15,United States,Blouse,42.69,640.35,2020,Feb,Justin Neal,Jill Green
cotton,49,China,Dress,79.86,3913.14,2022,Aug,Hector Allen,James Jackson
batik,340,United Kingdom,Skirt,45.43,15446.2,2022,Jan,Abigail Myers,Brian Bryant
batik,310,Malaysia,Dress,79.98,24793.8,2020,Sep,Jesse Fisher,Veronica Williams
cotton,208,Pakistan,Shirt,71.3,14830.4,2022,Apr,Joseph Shields,Nina Christensen
flax,476,United Kingdom,Headwear,53.3,25370.8,2021,Dec,William Monroe,Anthony Gilmore
batik,443,Indonesia,Dress,61.73,27346.39,2021,Sep,Vanessa Frank,Juan French
silk,58,Japan,Dress,0.93,53.94,2021,Mar,Tyler Hunt,Karen Higgins
batik,64,Japan,Scarf,95.79,6130.56,2020,Apr,Patrick Harper,Steven Hill
jute,457,Indonesia,Headwear,11.83,5406.31,2021,May,Dr. Paul Riggs,Diana Thompson
batik,349,Vietnam,Skirt,79.96,27906.04,2022,Jun,Kristen Chase,Kevin Lewis
polyester,175,Malaysia,Shawl,45.38,7941.5,2020,Oct,Courtney Becker,Brian Martin
batik,476,Germany,Shirt,93.21,44367.96,2020,Jan,William Reeves,Joshua Allen
nylon,389,India,Shawl,91.53,35605.17,2021,Mar,Pam Smith,Elizabeth Brown
batik,66,Japan,Pants,50.92,3360.72,2022,Jul,Elizabeth Orr,Heather Gonzalez
batik,267,Malaysia,Dress,13.14,3508.38,2020,Jan,Kathy Simmons,Jeffrey Wells
flax,428,Hong Kong,Blouse,4.95,2118.6,2021,Jun,Felicia Thomas,Mark Carroll
polyester,14,Malaysia,Scarf,27.76,388.64,2020,Jun,Lisa Norris,Jessica Walker
cotton,419,Netherlands,Shawl,18.23,7638.37,2020,Jan,Sarah Matthews,Jennifer Reese
spandex,255,United States,Skirt,38.33,9774.15,2022,Mar,Amber Gross,Paul Khan
batik,226,Indonesia,Dress,47.96,10838.96,2021,Feb,Wanda Murillo,Brandy Erickson
silk,456,Turkey,Shawl,88.38,40301.28,2020,Sep,Michael Glass,Grace Summers
linen,470,India,Shirt,67.46,31706.2,2020,Sep,Jose Soto,Christina Wilson
batik,253,United States,Pants,33.19,8397.07,2022,Jan,Charles Becker,Joseph Dunn
spandex,379,Malaysia,Bags,81.05,30717.95,2020,Mar,Vincent Lopez MD,Savannah Williams
batik,88,Austria,Shirt,46.02,4049.76,2020,Dec,Sheri Rodriguez,Terry Sharp
jute,325,United Kingdom,Skirt,56.53,18372.25,2020,Dec,Kenneth Collier,Shannon Harris
batik,439,Indonesia,Shirt,5.16,2265.24,2021,Nov,Robert Sanchez,Anna Walsh
batik,206,Korea,Scarf,63.76,13134.56,2021,Oct,Robert Mcintyre,Lisa Baker
jute,56,United States,Shirt,16.44,920.64,2022,Apr,Jared Bowers,Daniel Thomas
wool,72,Indonesia,Scarf,29.09,2094.48,2021,Nov,Michelle Mitchell,Christine Randolph
polyester,189,Italy,Skirt,42.34,8002.26,2020,Jun,Michael Moore,Nicole Lopez
rayon,133,Indonesia,Headwear,87.64,11656.12,2021,Nov,Wayne Gibson,Christian Stein
spandex,138,Indonesia,Blouse,14.03,1936.14,2020,Feb,Barbara Arias,Donna Vaughn
rayon,480,Malaysia,Shawl,28.43,13646.4,2020,Jun,Carrie Morales,Mr. Sean Harris Jr.
batik,80,France,Shirt,99.78,7982.4,2022,Feb,Melissa Singh,Leslie Brooks
cotton,155,Netherlands,Scarf,3.94,610.7,2020,Jan,Cassandra Simon,Brenda King
batik,359,Malaysia,Shirt,53.5,19206.5,2021,Dec,Jennifer Gilbert,Kim Johnson
jute,39,China,Headwear,22.11,862.29,2022,Feb,Robert Tucker,Angela Caldwell
jute,25,Turkey,Dress,51.37,1284.25,2020,Feb,Elizabeth Doyle,Jennifer Raymond
batik,426,Indonesia,Jacket,3.04,1295.04,2022,May,Brad Rowe,Teresa Edwards
polyester,300,Hong Kong,Headwear,4.26,1278.0,2020,Dec,Anna Graham,Courtney Parker
polyester,95,Malaysia,Skirt,98.87,9392.65,2021,Sep,Lisa Austin,Heather Mcgrath
linen,22,Pakistan,Dress,24.28,534.16,2020,Jul,Wendy Rojas,Kelly Hunter
batik,383,Malaysia,Scarf,11.36,4350.88,2022,Feb,Michael Wheeler,David Ramos
batik,331,Hong Kong,Blouse,18.99,6285.69,2022,Jun,Lauren Diaz,Steven Lamb
batik,107,India,Shirt,34.6,3702.2,2020,Jan,Tanner Farley,Lori Simmons
rayon,448,China,Skirt,25.82,11567.36,2020,Jul,Bianca Oliver,Michael Wilcox
nylon,89,Malaysia,Headwear,21.22,1888.58,2020,Jan,Kathleen Carlson,Charles Rivera
linen,383,China,Bags,25.72,9850.76,2022,Jul,Shawn Lee,Suzanne Lindsey
flax,135,India,Headwear,67.52,9115.2,2021,Oct,Christopher Smith,Jennifer Vasquez
linen,322,United Kingdom,Jacket,14.92,4804.24,2021,Jan,Jennifer Duffy,Michael Harris
batik,23,China,Blouse,23.45,539.35,2021,Jul,Peter Roberts,Bradley Brown
nylon,235,Hong Kong,Dress,22.33,5247.55,2020,Jan,Shawn Murray,Toni Rosales
linen,169,Bangladesh,Shirt,96.7,16342.3,2020,May,Breanna Wilson,Nicole Glass
batik,446,Hong Kong,Skirt,82.08,36607.68,2021,Apr,Sara Nichols,Sabrina Miller
jute,7,United States,Headwear,14.0,98.0,2021,Apr,Steven Lindsey,Diane Kent
polyester,223,Korea,Pants,88.14,19655.22,2020,Jan,Jeremy Rodriguez,Theresa Simmons
flax,90,Indonesia,Skirt,35.93,3233.7,2020,Sep,Stephen Schroeder,Howard Clark
batik,394,Malaysia,Blouse,66.13,26055.22,2021,Nov,Megan Nguyen,Amy Mccoy
jute,428,Vietnam,Scarf,80.24,34342.72,2020,Feb,Brittany Torres,Logan Dixon
jute,280,China,Headwear,34.4,9632.0,2021,May,Melissa Hamilton,Gregory Brown
batik,435,India,Scarf,23.85,10374.75,2020,Sep,Andrew Morales,Michael Wagner
spandex,191,China,Shawl,46.2,8824.2,2022,Jan,Patricia Williams,Philip Phillips
silk,404,Indonesia,Scarf,7.91,3195.64,2021,Sep,Ryan Patton,Kimberly Le MD
jute,102,United States,Shawl,44.73,4562.46,2021,Nov,Kylie Delgado,Megan Mays
nylon,369,Japan,Shawl,76.96,28398.24,2021,Jun,Dana Richards,April Collins
silk,479,United Kingdom,Pants,80.78,38693.62,2020,May,Mackenzie Jackson,Rebecca Jones
polyester,87,Indonesia,Dress,17.84,1552.08,2021,Feb,Kimberly Mcbride,Louis Glass
polyester,173,Japan,Scarf,86.1,14895.3,2021,Jan,Edward Hoover,Anthony Clark
spandex,219,Malaysia,Scarf,52.12,11414.28,2022,Jul,Scott Lawrence,Valerie Vance
jute,209,Malaysia,Skirt,41.58,8690.22,2021,Jan,Daniel Murray,Brandon Gill
batik,421,China,Dress,33.22,13985.62,2021,Aug,Alicia James,Yvonne Hogan
rayon,409,Vietnam,Shirt,70.74,28932.66,2022,Jan,Tanya Brown,Amanda Young
batik,116,Vietnam,Blouse,47.94,5561.04,2021,May,Robin Allen,Samantha Smith
polyester,306,Germany,Dress,5.43,1661.58,2022,Aug,Travis Palmer,Jessica Ramirez
batik,278,United States,Blouse,64.34,17886.52,2022,Jan,James Harrison,Laura Moody
linen,98,Japan,Scarf,53.44,5237.12,2020,Jan,Robin Clark,Bruce Smith
rayon,128,Pakistan,Dress,99.05,12678.4,2022,Jul,Madison Diaz,Katherine Lewis
spandex,424,United Kingdom,Headwear,43.22,18325.28,2020,Dec,Anthony Martinez,Ashley Lang
batik,291,Indonesia,Blouse,20.61,5997.51,2021,Feb,Marisa Mitchell,Allen Graves
batik,112,Malaysia,Shirt,1.95,218.4,2022,Jul,Desiree Shaw,Joshua Cross
spandex,256,Cambodia,Headwear,89.59,22935.04,2021,May,Jesse Mitchell,Tammy Reyes
linen,5,Hong Kong,Skirt,94.03,470.15,2021,Jul,Marisa Anderson,Emma Padilla
flax,46,Hong Kong,Dress,77.13,3547.98,2022,Feb,Jason Gilbert,Brandi Davis
batik,214,Malaysia,Dress,43.55,9319.7,2021,Dec,Logan Moore,Cynthia Craig
batik,491,Pakistan,Skirt,28.56,14022.96,2021,Dec,James Knapp,Eric Clark
cotton,106,China,Blouse,36.87,3908.22,2022,Dec,Kayla Garcia,James Davis
spandex,240,Pakistan,Jacket,87.52,21004.8,2020,Jul,William Weeks,Anita Duffy
nylon,191,Indonesia,Shirt,4.92,939.72,2021,Aug,Erica Mays,Christopher Roman
flax,98,Bangladesh,Scarf,13.79,1351.42,2021,Nov,Jasmine Adams,Lisa Johnson
wool,216,Ukraine,Dress,4.75,1026.0,2021,Aug,Christian Brooks,Taylor Wright
batik,428,China,Skirt,5.93,2538.04,2021,Jul,Daniel Martinez,James Adams
batik,83,Malaysia,Dress,36.46,3026.18,2022,Aug,Amber Armstrong,Jonathan Wilson
rayon,377,Hong Kong,Skirt,37.01,13952.77,2021,Sep,Jessica Velez,Matthew Young
batik,459,Korea,Shirt,21.67,9946.53,2020,May,Charles Glenn,Amanda Barker
flax,484,China,Scarf,98.41,47630.44,2021,Oct,Sandra Smith,Johnny Hoffman
batik,348,United Kingdom,Dress,32.22,11212.56,2020,Apr,Cynthia Allen,Tyler Padilla DDS
spandex,494,India,Shirt,40.29,19903.26,2020,Apr,Ashley Berry,Robert Brown
nylon,347,Japan,Dress,0.9,312.3,2021,May,Christine Pope,Matthew Gibson
nylon,405,Pakistan,Scarf,7.99,3235.95,2021,Jun,Randall Edwards,Natasha Weaver
cotton,172,Malaysia,Blouse,57.02,9807.44,2022,Feb,Jason Combs,Colleen Wilkerson
wool,261,Vietnam,Shirt,92.66,24184.26,2022,Jan,Dylan Ford,Albert Rogers
spandex,177,United States,Headwear,8.99,1591.23,2022,Oct,David Lawson,Kathleen Russo
polyester,384,Vietnam,Blouse,81.25,31200.0,2022,Jan,Mallory Salazar,Cheryl Ellison
nylon,226,Vietnam,Pants,75.56,17076.56,2022,Jun,Brandi Morgan,Anthony Booth
silk,150,France,Bags,59.81,8971.5,2020,Apr,Virginia Oliver,Nicole Joyce
batik,218,Japan,Headwear,74.0,16132.0,2022,Aug,Jorge Jimenez,Rachael Perez
linen,375,Austria,Scarf,59.14,22177.5,2022,Jul,Alexander Whitaker,Robert Thomas
batik,90,Bangladesh,Scarf,12.9,1161.0,2022,Mar,Gary Cruz,Nancy Maddox
jute,212,Malaysia,Jacket,76.18,16150.16,2022,Jul,Matthew Moore,Jose Yang
batik,455,Austria,Shawl,22.22,10110.1,2021,Feb,Levi Smith,Kathy Jimenez
rayon,468,Indonesia,Blouse,62.77,29376.36,2020,Aug,James Johnson,Kim Rodriguez
rayon,48,Korea,Skirt,35.14,1686.72,2022,May,Lisa Kennedy,James Joseph
batik,452,Vietnam,Dress,81.74,36946.48,2021,May,Cheryl Graham,Christine Clarke
batik,420,Vietnam,Blouse,73.74,30970.8,2022,Oct,Jonathan Jones,Garrett Navarro
polyester,280,Indonesia,Dress,25.34,7095.2,2020,Jul,Kevin Rubio,Mrs. Kristina Martinez MD
polyester,279,Indonesia,Shirt,83.78,23374.62,2022,Jun,Mr. Patrick Williams DDS,Justin Elliott
rayon,350,France,Dress,93.87,32854.5,2021,May,Kimberly Moore,Ashlee Palmer
batik,302,China,Blouse,28.77,8688.54,2021,Oct,Richard Garcia,Justin Keller
spandex,421,Vietnam,Skirt,26.08,10979.68,2020,Dec,Adrienne Green,Regina Casey
batik,440,Vietnam,Headwear,57.37,25242.8,2022,Oct,Amy Turner,Adam Garrison
jute,499,Bangladesh,Shirt,19.5,9730.5,2022,Feb,Austin Marquez,David Francis
batik,366,Turkey,Dress,40.11,14680.26,2021,Jan,Keith Brown,Melissa Campos
batik,363,Malaysia,Shirt,18.13,6581.19,2022,Aug,Daniel Brown,Jennifer Yoder
nylon,395,Bangladesh,Headwear,12.79,5052.05,2022,Jul,Brian Gilbert,Robert Jones
silk,137,Indonesia,Shirt,65.44,8965.28,2021,Jun,Amanda Preston,Jenna Beard
cotton,489,China,Skirt,94.07,46000.23,2020,Feb,John Soto,Joseph Martinez
spandex,499,Netherlands,Dress,97.31,48557.69,2022,May,Mitchell Graham,Juan Gill
rayon,474,Malaysia,Blouse,78.78,37341.72,2020,Jul,Gregory Ward,Daniel Valencia
polyester,401,Vietnam,Dress,90.65,36350.65,2022,Dec,Vanessa Sanchez,Felicia Molina
spandex,220,United States,Headwear,36.21,7966.2,2022,Sep,Kimberly Leblanc,Dylan Green
nylon,190,United Kingdom,Shirt,15.35,2916.5,2020,Jun,Greg Butler,Charles Hays
linen,409,Malaysia,Dress,75.56,30904.04,2022,Oct,Douglas Terrell,Ethan Bryant
silk,398,Hong Kong,Shirt,94.55,37630.9,2020,Feb,Susan Barker,Natasha Shelton
linen,80,United States,Pants,57.4,4592.0,2020,Sep,Shannon Greene,Sharon Bradley
batik,96,India,Bags,84.06,8069.76,2021,Jun,Miguel Mays,Mrs. Jacqueline Carson
batik,170,Bangladesh,Pants,2.0,340.0,2022,Apr,Elizabeth Hernandez,Donna Lee
spandex,42,United States,Dress,72.51,3045.42,2021,Aug,David Williams,Stephanie Martin
batik,143,Japan,Dress,7.18,1026.74,2020,Feb,Mary Brown,Richard Burgess
cotton,315,Pakistan,Scarf,43.62,13740.3,2021,Aug,Thomas Wallace,Dr. Adam Bryan
batik,414,France,Shirt,95.67,39607.38,2021,Nov,John Walker,John Davis
batik,219,Japan,Skirt,26.86,5882.34,2022,Jan,Michael Baldwin,Paula Davis
silk,41,Pakistan,Skirt,41.26,1691.66,2022,Mar,Robin Lewis,Jacob Warren
batik,44,Malaysia,Skirt,21.64,952.16,2021,Oct,Shannon Newton,Shelby Gardner
batik,310,Indonesia,Blouse,86.82,26914.2,2021,Jun,Taylor Olsen,Amanda Mcconnell
batik,75,India,Skirt,45.52,3414.0,2020,May,Heather Owens,Amanda Villa
wool,341,China,Blouse,95.66,32620.06,2021,Jul,Sarah Doyle,Nancy Gonzales
cotton,430,Korea,Jacket,88.56,38080.8,2020,Aug,Christopher Kelly Jr.,Edward Hess
polyester,369,United Kingdom,Scarf,12.82,4730.58,2020,Jul,Jennifer Evans,Ryan Ray
wool,212,United Kingdom,Jacket,17.13,3631.56,2021,Sep,Ethan Willis,Caitlin Smith
jute,237,United States,Shirt,98.73,23399.01,2021,Aug,Andrew Castro,John Leon
flax,18,United Kingdom,Scarf,91.56,1648.08,2021,Jul,Brandy Martinez,William Rodriguez
cotton,410,Vietnam,Bags,31.13,12763.3,2021,Jul,Russell Johnson,Jonathan Hernandez
cotton,194,Vietnam,Shirt,17.89,3470.66,2021,Jan,Jessica Martinez,Matthew Morgan
linen,422,Japan,Dress,7.83,3304.26,2020,Sep,Brian Reynolds,Jordan Coleman
rayon,114,India,Shirt,73.79,8412.06,2022,Oct,Paul Swanson,Tamara Sellers DVM
batik,91,India,Blouse,78.72,7163.52,2022,Jul,Amanda Stewart,Krystal Burns
cotton,305,India,Scarf,72.79,22200.95,2021,Apr,Jeffrey Coleman,Shawn Hanson
linen,52,China,Blouse,32.19,1673.88,2021,Jan,William Conley,Laurie Schmidt
flax,424,India,Dress,38.35,16260.4,2020,Jan,Jillian Hamilton,Patrick Brown
spandex,307,Bangladesh,Shirt,69.0,21183.0,2020,Jul,David Ellis,Lauren Brown
cotton,445,Hong Kong,Shirt,30.91,13754.95,2021,Feb,Gerald Owen,Dorothy Simpson
rayon,330,United States,Blouse,99.49,32831.7,2022,Jul,Mark Boyle,Kelly Gilbert
batik,404,Hong Kong,Blouse,95.25,38481.0,2020,Feb,Jerry Johnson,Brian Mccoy
batik,157,China,Scarf,62.11,9751.27,2021,Feb,John Graves,Linda Salinas
cotton,269,Vietnam,Headwear,12.13,3262.97,2021,Jan,Guy Hale,Veronica Lee
cotton,69,Japan,Shirt,80.71,5568.99,2022,Apr,Tanner Lowe,Keith White
silk,164,Indonesia,Shawl,28.3,4641.2,2021,Jan,Trevor Carter,Rodney Townsend
batik,214,Vietnam,Headwear,4.64,992.96,2021,Dec,Katelyn Reynolds,Michael Brown
polyester,22,Indonesia,Scarf,16.64,366.08,2020,May,Donald Stone,Amanda Serrano
wool,494,Vietnam,Blouse,68.19,33685.86,2020,Jul,Ryan Lara,Rodney Long
linen,1,Hong Kong,Dress,94.13,94.13,2022,Sep,Deborah Ashley,Joseph Johnson
rayon,430,Japan,Jacket,17.32,7447.6,2021,Sep,Katherine Tucker,Stephanie Carter
linen,384,United States,Blouse,2.57,986.88,2021,Apr,James Jensen,Bethany Hurley
flax,94,China,Scarf,68.7,6457.8,2022,Dec,Ryan Wong,Tammy Torres
cotton,417,Malaysia,Skirt,6.06,2527.02,2020,May,Jared Gilbert,Ryan Adams
silk,69,Indonesia,Bags,29.15,2011.35,2020,Nov,Michelle Estrada,Angela Berry
linen,142,Indonesia,Skirt,91.19,12948.98,2020,Jan,Brian Stone,Ernest Frazier
linen,241,Vietnam,Skirt,51.24,12348.84,2020,Aug,Holly Brown,Rebecca Thompson
batik,86,Japan,Scarf,12.94,1112.84,2022,Dec,Heather Hudson,Lisa Jackson
silk,143,Hong Kong,Jacket,22.59,3230.37,2022,Aug,Stacy Smith,Susan Kane
flax,70,Pakistan,Bags,89.03,6232.1,2022,Oct,Nathan Armstrong,Paul Ochoa
linen,114,China,Bags,97.1,11069.4,2021,Aug,Jenny Collier,Alyssa Owens
rayon,70,China,Blouse,70.08,4905.6,2020,Apr,Anthony Reed,Julie Hill
batik,445,United States,Shirt,31.27,13915.15,2020,Oct,Carmen Edwards,Pamela Stevens
spandex,331,Vietnam,Skirt,62.3,20621.3,2021,Apr,Derek Hill,Stacy Ray
silk,208,Hong Kong,Shirt,36.28,7546.24,2022,Jul,Megan Carter,Larry Gill
spandex,210,Indonesia,Skirt,20.31,4265.1,2022,Jan,Bobby Fox,Greg Miller
wool,169,United States,Shirt,3.82,645.58,2020,Feb,Zachary Bass,Thomas Farrell
polyester,485,India,Blouse,52.25,25341.25,2021,Feb,Donna Gutierrez,Joseph Schaefer
wool,24,Malaysia,Bags,58.85,1412.4,2022,Jul,Ashley Price,Karen Harris
batik,105,Japan,Jacket,55.15,5790.75,2021,Feb,Phillip Ferguson,Kelly Kline
flax,243,United States,Dress,79.44,19303.92,2020,Jan,Ashley Lopez,Pamela Craig
polyester,220,Italy,Shirt,46.32,10190.4,2020,Jul,Dr. Gina Oconnor,Joseph Wright
wool,387,Hong Kong,Blouse,70.01,27093.87,2021,Nov,Mrs. Sharon Oliver,Jonathan Bryan
batik,325,Turkey,Skirt,71.6,23270.0,2021,Aug,Lisa Oconnell,Bianca Cooke
cotton,268,Japan,Shirt,21.22,5686.96,2020,Apr,Matthew Kennedy Jr.,Brenda Andrews
flax,64,Hong Kong,Blouse,33.88,2168.32,2022,Mar,Paula Fuentes,Patricia Martinez
rayon,447,United Kingdom,Shirt,46.69,20870.43,2021,Nov,Nancy Robles,Stefanie Taylor
jute,399,Indonesia,Headwear,65.82,26262.18,2021,Jan,Darrell Anderson,Shawn Ward
jute,230,Hong Kong,Shawl,89.24,20525.2,2020,Jan,Courtney Gray,Jennifer Vazquez
batik,119,Vietnam,Shirt,49.22,5857.18,2020,Nov,Jackie Martinez,Nicholas Ibarra DVM
spandex,288,Malaysia,Skirt,63.51,18290.88,2022,Jun,Jonathan Welch,Garrett Tran
spandex,429,United Kingdom,Pants,35.28,15135.12,2021,Jul,Jill Hayes,Alexandra Williams
silk,146,China,Shirt,2.94,429.24,2022,Dec,Jennifer Davis,Melissa Berry
jute,439,Korea,Shawl,28.89,12682.71,2022,Jul,Latoya Ramirez,Douglas Butler MD
spandex,194,United States,Bags,67.94,13180.36,2021,May,Elizabeth Wagner,Daniel Taylor
batik,312,Vietnam,Headwear,0.9,280.8,2022,Jul,Julie Moore,Jason Richardson
batik,279,Turkey,Shirt,73.24,20433.96,2022,Mar,Robert Myers,Susan Mahoney
jute,420,Japan,Skirt,21.17,8891.4,2020,Feb,Eric Torres,Jennifer Krause
jute,471,Cambodia,Shawl,71.45,33652.95,2021,Jan,Kelli Tucker,Alan Chapman
silk,372,Germany,Blouse,27.72,10311.84,2021,May,Lisa Parker,Alison Miller
cotton,369,Malaysia,Headwear,44.57,16446.33,2022,Jul,Toni Gardner,Paul Moon
wool,374,Indonesia,Dress,26.22,9806.28,2022,Mar,Steven Carter,Matthew Gray
wool,53,India,Scarf,99.56,5276.68,2022,Jul,Joshua Lara,John Wright
flax,478,Hong Kong,Skirt,45.47,21734.66,2020,Apr,Mr. Jonathan Stevens,Jamie Adams
silk,115,Germany,Pants,5.03,578.45,2022,Feb,Robert Carroll,Michelle Thompson
batik,196,Pakistan,Pants,86.85,17022.6,2022,Feb,Elaine Boone,Jessica Suarez
linen,69,United Kingdom,Shirt,49.01,3381.69,2020,Nov,Jenna Vasquez,Barbara Galvan
cotton,318,Malaysia,Dress,59.88,19041.84,2020,May,William Mora,Kayla Moore
batik,133,Indonesia,Bags,45.67,6074.11,2022,Jul,Mackenzie Padilla,Jennifer Rodriguez
flax,188,Hong Kong,Shirt,59.82,11246.16,2022,Jul,Christopher Mays,John Cardenas
jute,382,Hong Kong,Shawl,8.74,3338.68,2022,Mar,Alexis Benitez,Timothy Smith
wool,153,Vietnam,Scarf,73.6,11260.8,2020,Aug,Kaylee Dodson,Kimberly Wise
flax,195,China,Scarf,77.45,15102.75,2022,Jul,Caleb Juarez,Peter King
polyester,112,Netherlands,Dress,87.21,9767.52,2022,Jun,Cameron Green,John Bryant
batik,161,Vietnam,Dress,66.96,10780.56,2020,Apr,Alan Mcdonald,Kevin Richardson
batik,167,China,Blouse,27.02,4512.34,2022,Jun,Cassandra Briggs,Stephanie Johnson
batik,425,Korea,Dress,59.07,25104.75,2021,Jan,Catherine Ochoa,Diana Mcbride
nylon,246,Vietnam,Scarf,21.82,5367.72,2022,Jul,Molly Chavez,Harold Lutz
batik,156,Vietnam,Dress,8.47,1321.32,2021,Oct,Julia Stewart,Christie Sims
polyester,56,Malaysia,Shirt,22.62,1266.72,2020,Dec,Jennifer Anthony,Jose King
spandex,61,Turkey,Dress,41.3,2519.3,2020,Jan,Kyle Harrison,Darryl Compton
rayon,81,India,Dress,8.92,722.52,2021,Aug,Ashley Snyder,Charles Bennett
nylon,16,Bangladesh,Scarf,99.43,1590.88,2021,Aug,Michael Powell,Ashley Gonzalez
linen,119,Indonesia,Skirt,87.88,10457.72,2020,Apr,Sarah Howard,Ralph Rodriguez
batik,388,United Kingdom,Dress,87.2,33833.6,2022,Jun,Laura Lowery,Gerald Nguyen
batik,119,China,Dress,23.84,2836.96,2020,May,Tina Jenkins,Susan Kim
batik,50,Ukraine,Dress,84.19,4209.5,2021,Nov,Melissa Lopez,Dawn Marshall
flax,123,Vietnam,Dress,69.2,8511.6,2020,Jul,Derek Crawford,Mitchell Lee
spandex,266,Vietnam,Scarf,7.17,1907.22,2022,Jan,Stephen Smith,Jennifer Diaz
silk,349,China,Blouse,92.99,32453.51,2020,Sep,Aaron Rosario,Elizabeth Odonnell
batik,251,United Kingdom,Skirt,27.3,6852.3,2020,Feb,Dr. Marcus Burgess Jr.,Danielle Ruiz MD
spandex,187,Indonesia,Shirt,25.05,4684.35,2021,Oct,Sara Martin,Paul Terry
batik,136,Vietnam,Bags,37.43,5090.48,2022,Jan,Jennifer Bailey,Scott Nguyen II
jute,78,United States,Shirt,85.79,6691.62,2021,Dec,Debra Pacheco,Carol Smith
silk,244,Hong Kong,Shirt,11.79,2876.76,2022,Feb,Melissa Smith,Pam Mcguire
cotton,44,Indonesia,Scarf,19.05,838.2,2021,Aug,Jamie Owen,John Flowers
batik,312,Ukraine,Blouse,78.42,24467.04,2020,Nov,Madison Weaver,Jeffery Luna
batik,139,Indonesia,Skirt,75.73,10526.47,2020,Feb,Tami Holland,Catherine Kemp
batik,104,Japan,Dress,15.78,1641.12,2021,Jul,Emily Tapia,Mrs. Shelly Martinez
jute,20,France,Skirt,98.29,1965.8,2022,Jan,Jared Holloway,Jonathan Davis
batik,156,Pakistan,Dress,41.69,6503.64,2021,Oct,Adam Foster,Julie Henderson
batik,257,China,Dress,1.13,290.41,2020,May,Karen Anderson,Jeffrey Hinton
rayon,58,China,Headwear,18.3,1061.4,2020,May,Bryan Allen,Mary Ross
jute,271,Indonesia,Scarf,91.66,24839.86,2022,Mar,Angela Weber,Kathleen Peterson
jute,332,Vietnam,Dress,16.25,5395.0,2021,Jul,Elizabeth Murphy,Robert Hickman
polyester,384,Italy,Headwear,60.61,23274.24,2020,Oct,Bryan Ford,Laura Mosley
polyester,219,United Kingdom,Dress,20.96,4590.24,2021,May,William Scott,Joshua Hill
cotton,108,Vietnam,Blouse,79.48,8583.84,2021,Nov,Laurie Jenkins,Jason Cline
nylon,144,Vietnam,Jacket,81.23,11697.12,2021,Mar,Timothy Paul,Thomas Myers
wool,120,Pakistan,Scarf,84.44,10132.8,2021,Jul,Briana Taylor,Michael Nicholson
