type_of_textile,qty_exported,countries_exported,type_of_product,price_of_product,year_of_export,month_of_export,customer_name,seller_name
linen,310,China,jacket,17.56,2021,11,Rebecca Wilson,Steven Burke
batik,119,New Zealand,jacket,807.51,2022,5,James Williams,Jacob Chambers
wool,294,Italy,jacket,437.1,2020,9,Kayla Wagner,Matthew Hernandez
linen,324,Germany,pants,835.67,2021,6,Adam Nelson,Joshua Wong
rayon,24,Canada,skirt,473.43,2020,12,John Case,Samantha Benjamin
rayon,153,Spain,scarf,138.0,2021,6,Mr. Christian Wheeler,Keith Snow
polyester,42,United States,shirt,493.65,2022,11,Steven Smith,Jimmy Ramirez
cotton,323,United Kingdom,jacket,287.46,2021,11,Courtney Edwards,Gina Guerrero
wool,229,Australia,headwear,471.56,2020,10,Tracy Graham,Rachel Thompson MD
batik,64,Germany,dress,413.42,2020,3,Morgan Schmidt,Joseph Hanson
silk,344,China,skirt,467.45,2021,7,James Nichols,Charles Vasquez
polyester,374,Hong Kong,skirt,705.78,2020,11,Eric Duarte,Seth Morris
cotton,15,New Zealand,bags,863.31,2022,5,Dale Pierce,Allen Campbell
polyester,146,France,skirt,811.93,2021,11,Erika Contreras,Roberto Reeves
cotton,43,China,jacket,277.77,2021,10,Daniel Stone,Todd Willis
linen,380,Australia,dress,168.0,2021,2,Paige Carey DVM,Bianca Young
polyester,29,Netherlands,headwear,28.99,2020,5,Jacqueline Dixon,Heather Carey
batik,81,India,blouse,309.38,2022,10,Alexander Henderson,Alexandria Roberts
cotton,162,Netherlands,blouse,564.44,2020,5,Walter Massey,Abigail Hebert
silk,382,New Zealand,jacket,749.99,2021,1,Matthew Holden,Ryan Sparks
cotton,354,France,bags,309.69,2020,4,Sherri Williams,Priscilla Duncan
wool,33,Spain,dress,130.76,2020,12,Melissa Garcia,Eric Rivera
polyester,101,China,pants,928.99,2022,10,Scott Holland,Terry Freeman
linen,361,India,blouse,920.01,2021,5,Hector Reed,Kelli Kane
wool,38,India,shirt,583.17,2021,9,Lisa Clayton,Shane Mullen
linen,115,India,dress,579.33,2020,1,Dennis Vaughan,John Holder
wool,196,New Zealand,shawl,982.96,2022,7,Earl Barnes DDS,Ricardo Dean
silk,466,France,shirt,332.26,2022,7,Dominic Mckinney,Mary Ward
linen,265,South Korea,pants,778.5,2022,6,Elizabeth Middleton,Kristin King
wool,110,Australia,bags,260.29,2021,10,Tyrone Fuller,Christopher Huffman
wool,378,India,jacket,339.7,2021,10,Jordan Miller,Mary Baker
batik,430,Germany,dress,206.89,2021,10,Ashley Perez,James Rich
silk,478,Japan,dress,322.19,2022,9,Christine Carr,Douglas Patterson
silk,435,Hong Kong,pants,610.34,2021,1,Erica Peck,Melissa Brown
batik,198,United States,bags,821.64,2021,10,Michael Cox,Joel Robbins
polyester,339,Australia,jacket,935.76,2021,3,Scott Evans,Brandon Rivera
rayon,475,United States,bags,722.38,2021,2,Tammy Wood,Marie Johnson
cotton,303,Spain,shirt,986.72,2022,8,John Martin,Katherine Walsh
cotton,319,Spain,pants,166.45,2021,4,Rachel Kelly,Hannah Rivera
silk,381,India,pants,781.54,2021,2,Makayla Wallace,Andrew David
linen,216,New Zealand,shawl,717.18,2021,5,Michael Mann,Kayla Gordon
wool,313,Canada,shirt,348.87,2020,12,Melissa Bishop,Kristen Kelly
polyester,476,Italy,shawl,903.36,2020,2,Phyllis Cortez,Stephen Hayden
wool,217,Netherlands,skirt,668.86,2021,4,Mikayla Hill,Carl Wilson
polyester,288,United States,jacket,690.5,2020,1,Andrew Jones,Alexander Howell
batik,159,China,skirt,228.99,2020,7,Sean Wilson,Barbara Huang
batik,205,South Korea,scarf,460.94,2020,11,Jessica Wolf,Wendy Macias
cotton,306,Hong Kong,pants,404.43,2020,3,Glenn Hernandez,Mark Chandler
silk,139,United Kingdom,shawl,611.63,2022,4,Chelsea Randall,Cory Blackwell
batik,398,South Korea,shirt,564.71,2022,10,Bradley Schaefer,Elizabeth Knapp DDS
linen,202,Canada,scarf,536.22,2020,5,Michael Mcclain,Stephen Silva
batik,481,Germany,headwear,172.55,2021,3,Omar Baker,Christopher Green
polyester,274,United Kingdom,shirt,637.47,2020,11,Michele Huffman,Matthew Turner
polyester,116,Italy,pants,482.47,2020,4,Gloria Knox,Joseph Lawson
wool,396,India,jacket,516.48,2022,11,Victor Rollins,Kristen Ochoa
linen,94,Canada,jacket,198.49,2022,9,Alexandra Martinez,Maureen Alexander
linen,459,Hong Kong,dress,188.08,2020,10,Jasmine Parks,Mr. Donald Curry
wool,460,France,dress,927.73,2021,2,Anthony Miller,William Payne
cotton,491,France,shawl,892.2,2022,11,Jacob Cohen,Nicole Beasley
silk,453,India,dress,215.17,2021,9,Chelsea Potter,Diana Cabrera
batik,50,France,skirt,714.62,2020,2,Amanda Banks,Jonathan Hansen
rayon,414,Germany,jacket,908.83,2020,11,Mackenzie Johnson,Michael Hughes
wool,475,Spain,shirt,615.04,2022,8,Taylor Meyer DVM,John Delgado
cotton,285,China,pants,592.01,2020,5,Benjamin Hamilton,Desiree Burke
rayon,409,United Kingdom,headwear,647.43,2020,3,Christopher Clayton,Amy Lee
rayon,6,China,headwear,615.07,2020,1,Sheena Morales DDS,Joseph Chavez
polyester,231,Canada,skirt,53.62,2021,12,James Wright,Ian Farley
wool,363,Netherlands,blouse,378.97,2021,9,Shelby Solomon,James Silva
silk,15,United States,pants,21.27,2020,6,Justin Miller,Shelley Bridges
rayon,332,Australia,scarf,241.84,2022,11,Francisco Nelson,Brittany Henry
polyester,37,New Zealand,pants,29.28,2021,1,Jessica Pittman,Susan Reed
polyester,398,New Zealand,skirt,39.23,2022,3,Lisa Thompson,Julian Taylor
batik,467,New Zealand,scarf,814.66,2022,11,Alexandria Vega,Bonnie Costa
batik,172,Australia,shawl,111.86,2022,11,James Smith,Rachael Smith
silk,434,Canada,skirt,753.48,2022,10,Jeanne Wells,Beth Clayton
batik,112,France,jacket,127.85,2021,10,Antonio Townsend,Michael Gallagher
batik,411,Italy,blouse,446.4,2020,3,Stacey Lucero,Theresa Henderson
polyester,179,United States,pants,951.83,2022,9,Kathy Coleman,Michelle Harris
polyester,28,Spain,bags,899.91,2020,9,Louis Clark,Antonio Smith
cotton,359,South Korea,scarf,380.76,2021,6,Shane Hodge,Anthony Rogers
cotton,450,Australia,bags,719.01,2021,4,William Nelson,Jeremiah Wilson
batik,91,New Zealand,scarf,401.85,2022,5,Paul Wang,Bobby Thompson
wool,106,Japan,shawl,556.97,2020,9,James Schwartz,Jennifer Oconnell
batik,441,Spain,shawl,39.0,2022,12,Debra Dawson,Eugene Wilkinson
wool,262,Canada,blouse,154.91,2022,9,Sarah Anderson,Rebecca Steele
polyester,182,Hong Kong,headwear,700.49,2020,11,Jennifer Valdez,Cynthia Duncan
rayon,118,China,bags,319.28,2020,7,Shawn Harrison,Jessica Roberts
cotton,401,United States,bags,166.71,2021,12,Richard Gardner,Nicholas Stewart
rayon,163,South Korea,skirt,966.64,2022,6,Angela Munoz,Christina Parker
polyester,256,India,bags,347.97,2022,10,Kathryn Rodriguez,Jeffrey Scott
wool,482,Japan,scarf,577.51,2021,12,Kyle Williams,Jacob Sanchez
silk,375,Italy,headwear,685.91,2022,4,Adam Brooks,Misty Hill
cotton,488,India,pants,461.74,2020,6,Kristin Hicks,Timothy Mclean
wool,239,Japan,shirt,900.39,2022,6,Tiffany Martinez MD,Erin Jefferson
wool,157,Canada,shirt,167.93,2021,8,Lori Thomas,Sara Chang
silk,170,France,shirt,174.53,2022,6,Kaitlyn Bennett,Angelica Baker
wool,274,France,shawl,490.81,2020,1,Gina Jackson,Kimberly Durham
polyester,112,New Zealand,bags,340.86,2021,12,Anna Diaz,Mr. Daniel Wright MD
wool,129,Canada,scarf,843.15,2021,7,Daniel Kirby,Sara Moses
cotton,381,Netherlands,pants,268.43,2020,11,Daniel Alexander,Kayla Robinson
rayon,127,France,scarf,732.43,2021,5,Wendy Taylor,Rebecca Case
cotton,499,Germany,blouse,832.46,2021,2,Patricia Ortiz,Juan Davis
batik,361,France,dress,627.16,2020,10,Mary Cruz,Brandon Caldwell
polyester,293,South Korea,dress,607.49,2020,7,Dr. Shelly Mccullough,Christina Clark
silk,253,Netherlands,skirt,668.75,2020,8,Michelle Nguyen,Kimberly Bennett
polyester,476,Italy,skirt,832.81,2020,1,Barbara Miller,Sandra Williams
cotton,91,Spain,dress,551.11,2021,5,Nathaniel Robertson,Diane Taylor
wool,281,China,shirt,484.62,2020,12,Tammy Gomez,Erika Rosales
wool,278,Japan,shawl,517.65,2022,1,Jonathan Garcia,Lisa Roman DDS
silk,462,United States,shirt,281.59,2022,10,Kristin Rowe,Kevin Zhang
polyester,395,United Kingdom,pants,784.06,2021,9,Sarah Pacheco,Eric Clark
polyester,198,Japan,skirt,562.85,2021,1,Melissa Benitez,Thomas Jones
cotton,100,Japan,bags,354.47,2022,8,Paul Allen,Ryan Smith
polyester,224,Japan,scarf,655.34,2021,11,Jennifer Bentley,Haley Collins
batik,250,Netherlands,skirt,139.97,2021,10,Christopher Liu,James Williams
linen,81,South Korea,jacket,189.88,2022,2,George Flores,Melissa Martinez
rayon,78,France,bags,120.51,2021,8,Christina Woods,Jenna White
batik,500,Spain,scarf,700.23,2022,4,Austin Ortega,Martin Jackson
wool,211,United Kingdom,scarf,233.95,2022,1,Allen Johnson,Matthew Weber
wool,312,Germany,headwear,510.49,2022,6,Leonard Osborne,Sara Adams
wool,387,Italy,pants,144.1,2021,3,Patricia Rivers,Christie Wolfe
wool,154,New Zealand,jacket,902.76,2021,5,Deborah Mason,Jacob Gonzales
batik,133,China,shirt,864.44,2022,4,Javier Zavala,Bruce Roy
wool,178,China,pants,850.5,2022,10,David Leblanc,Tracy Snyder
rayon,343,Spain,scarf,68.73,2021,6,Joel Allen,Benjamin Figueroa
rayon,42,France,pants,76.32,2022,4,Diane Cook,John Wilson
polyester,418,India,skirt,426.8,2022,3,Kelly Peters,Michael Mcdonald
wool,351,New Zealand,blouse,455.92,2021,9,Deborah Mullins,Jacob Ortiz
cotton,67,Canada,dress,940.63,2020,7,Donna Whitaker,Melissa Williams
wool,196,India,headwear,976.19,2022,2,Katherine Martin,Melissa Carpenter
wool,69,France,shawl,559.77,2022,5,Nicholas Martinez Jr.,Anthony Martin
polyester,147,New Zealand,shirt,79.79,2021,7,Matthew Maddox,Krystal Alexander
linen,466,United States,dress,555.7,2022,3,Matthew Garcia,Danielle Fisher
cotton,79,United States,shawl,480.78,2021,7,Steven Perez,Veronica Williams
silk,261,China,jacket,601.35,2020,9,Mallory Morgan,Anna Wilson
polyester,54,South Korea,skirt,850.09,2020,2,Emily Brown,Stephanie Mccoy
wool,150,Hong Kong,scarf,629.09,2021,3,Tina Martin,Christian Marshall
rayon,200,Australia,scarf,849.13,2021,12,Monica Kelly,Shannon Thompson
cotton,152,India,bags,926.51,2021,12,Shelia Smith,Cassandra Jenkins
rayon,141,India,blouse,914.77,2020,10,Erica Knight,Bethany Brown
cotton,363,South Korea,bags,352.28,2021,10,Jason Carlson,Rodney Flores
wool,477,Netherlands,shawl,376.49,2022,1,John Curry,Heather White
silk,102,United Kingdom,scarf,559.9,2022,11,Alexander Hunter,Phillip Hamilton
cotton,352,United States,headwear,575.94,2021,7,Shelia Simpson,Jason Bush MD
polyester,424,United Kingdom,pants,53.54,2022,9,Michael Davidson,Jessica Finley
cotton,289,Italy,pants,140.17,2021,1,Margaret Wong,Jason Perez
cotton,492,New Zealand,headwear,384.93,2020,4,Molly Byrd,Heather Wilkinson
rayon,192,France,pants,878.75,2020,9,Diana Rich,Andrea Graham
wool,53,India,shawl,895.51,2020,6,Patricia Barrett,Sheryl Sandoval
cotton,44,Australia,pants,878.36,2021,11,Leslie Gomez MD,Robert Fox
wool,351,United States,pants,449.41,2021,4,Mary Summers,Joyce White
wool,281,China,scarf,4.54,2020,12,Kimberly Nicholson,Erica Norris
batik,333,India,skirt,224.16,2020,6,Susan Smith,Lindsay Salazar
silk,347,New Zealand,blouse,253.42,2022,5,Trevor Boyd,Russell Morris
linen,108,South Korea,shawl,366.68,2021,9,Robert Montgomery,Ariana Bennett
linen,260,Netherlands,scarf,269.72,2020,1,Mary Hernandez,Elizabeth Jones
linen,213,Canada,shawl,769.87,2022,1,Jonathan Knight,George Hull
rayon,216,Canada,pants,469.49,2022,3,Cynthia Kelly,Joseph Douglas
cotton,430,China,shirt,883.78,2020,9,Peter Rodriguez,Michaela Rodriguez
polyester,174,Hong Kong,shirt,886.89,2022,2,Jason Thomas,Timothy Watson
polyester,371,United Kingdom,skirt,329.92,2020,9,Melanie Pacheco,Erin Lee
rayon,238,Italy,shirt,988.09,2021,4,Jennifer Soto,Eric Nielsen
cotton,417,China,shirt,949.57,2020,1,Shari Walton,Andrew Barrera
batik,204,United States,scarf,622.3,2020,6,Michelle Ferrell,David Brown
batik,140,Japan,pants,115.96,2022,8,Mitchell Salinas,Christopher Kim
batik,412,South Korea,skirt,605.28,2021,6,Stephanie Stewart,Ryan Sanders
cotton,344,China,jacket,131.63,2022,10,Katherine Meyer,Walter Garcia
rayon,64,New Zealand,shirt,72.13,2022,4,Jack Bradford,Beth Tran
rayon,157,Germany,bags,496.51,2020,5,Erika Suarez,Steve Leblanc
polyester,480,South Korea,pants,5.74,2020,5,Maria Young,Alfred Harrington
rayon,499,Hong Kong,shawl,205.27,2020,1,Daniel Craig,Mary Gonzalez
linen,288,United Kingdom,headwear,577.67,2020,11,Daniel Burns,Joshua Monroe
linen,9,United States,shawl,669.59,2022,4,Michael Wong,Nancy Perez
rayon,154,Hong Kong,blouse,971.89,2022,10,Megan Hardy,Derek Dyer
silk,413,France,shirt,663.29,2021,10,Martin Koch,Isaac Ellis
linen,202,Netherlands,shawl,215.0,2021,7,Eugene Pitts,Jason Myers
cotton,77,Canada,pants,980.85,2022,9,Amy Smith,Brian Ballard
batik,96,Germany,dress,869.26,2022,11,Marissa Taylor,Matthew Smith
rayon,16,Australia,pants,6.06,2021,7,Brandon Moore,Martha Hill
silk,295,South Korea,shawl,962.04,2021,10,Barbara Nelson,Kyle Smith
rayon,300,France,shawl,144.39,2021,1,Christine Mason,Crystal Nichols
rayon,218,France,shirt,436.34,2021,5,Steven Orozco,Nathan Miller
polyester,378,United Kingdom,scarf,366.09,2021,3,Blake Hull,John Jennings
rayon,442,Australia,pants,832.27,2020,1,Jerry Garner,Miss Mariah Luna
batik,282,Netherlands,dress,805.62,2020,10,Samuel Powell,Jonathan Bates
batik,13,Italy,skirt,309.63,2022,4,Michele Larson,David Beard
rayon,101,Canada,dress,396.46,2022,11,Anthony Weber,Timothy Brewer DDS
batik,122,South Korea,skirt,792.79,2022,5,Steven Lewis,Stephanie Griffin
rayon,221,Canada,shirt,478.6,2021,8,Robert Scott,Joseph Ferguson
rayon,130,South Korea,bags,431.79,2020,6,Robert Williams,Dr. David Foster
wool,267,Japan,headwear,726.77,2021,9,Craig Morris,Ryan Thomas
wool,348,Germany,skirt,650.44,2022,6,Linda Baker,Nicole Pugh
polyester,281,China,dress,655.79,2020,9,Angela Chavez,Dr. Aaron Dominguez
polyester,413,Australia,scarf,19.93,2021,6,Joshua Horton,Debra Nelson
cotton,316,Spain,pants,476.38,2022,2,Mrs. Theresa Nunez,Wayne Franklin
linen,408,Canada,headwear,12.36,2020,1,Scott Valdez,Laura Cooper
linen,26,South Korea,shirt,34.31,2020,2,Samantha Stewart,Rachel Henson
wool,82,United States,scarf,523.66,2021,7,Robert Hartman,Clifford Parker
batik,294,United States,shirt,668.29,2022,4,Mrs. Rhonda Rodriguez DVM,Rebecca Cardenas
linen,498,Germany,pants,599.04,2020,1,Whitney Russo,Shawn Mercer
wool,101,United Kingdom,scarf,385.78,2020,6,Madeline Medina,Pamela Williams
batik,255,South Korea,dress,675.97,2021,12,Jacob Perez,Amanda Sullivan
wool,4,Canada,scarf,892.36,2020,5,Michael Murphy,Brett Meyer
polyester,68,Japan,scarf,304.37,2021,5,Sue Johns,Dr. Justin Mccall
batik,500,Australia,dress,153.35,2021,9,Veronica Moore,Vanessa Chung
linen,132,Hong Kong,blouse,538.7,2020,4,Alicia Luna MD,Tony Barnes
rayon,416,France,jacket,746.52,2022,2,Kelsey Richmond,Rachel Brown
cotton,354,Australia,blouse,40.76,2022,6,Jennifer Lang,Daniel Glenn
batik,272,Netherlands,bags,341.34,2021,10,Dan Villanueva,Whitney Jackson
wool,245,Australia,shirt,333.25,2022,5,Anita Bradley,Charles Heath
rayon,135,China,headwear,858.35,2021,7,Crystal Walker,Sean Klein
cotton,474,Germany,headwear,744.16,2021,7,Miranda Mullen,Chase Bartlett
rayon,104,South Korea,jacket,918.5,2021,9,Juan Robinson,Scott Miller
wool,457,France,jacket,522.2,2022,1,Andrew Mathews,Gregory Floyd
polyester,246,Germany,bags,623.74,2020,9,Kimberly Morgan,Felicia Flores
linen,22,Italy,shirt,50.95,2021,4,Susan Jordan,Darlene Frank
wool,366,Australia,skirt,211.6,2021,10,Sandra Gonzales,Jose James
silk,35,Japan,shirt,838.18,2020,8,Christina Davis,Sandra Nelson
silk,453,United Kingdom,blouse,386.93,2022,9,Paul Blankenship,William Turner
cotton,374,Germany,skirt,955.76,2022,1,Chad Moyer,Dr. Michael Henson II
cotton,110,Netherlands,bags,970.11,2020,10,Catherine Ellison,Julie Stanton
silk,30,New Zealand,blouse,957.02,2022,8,Mary Salas,Cheryl Thomas
polyester,57,United States,headwear,397.66,2022,8,Bethany Young,Elizabeth Ramirez
rayon,177,United Kingdom,jacket,86.85,2021,8,Corey Brown,Shelby Allen
wool,36,Netherlands,bags,932.15,2020,8,Kristine Carlson,Joseph Barton
cotton,418,Italy,bags,123.71,2020,10,Courtney Fox,Phillip Williams
silk,43,Spain,shawl,632.95,2022,5,Jamie George,Amanda Byrd
linen,274,France,shirt,812.7,2022,5,Catherine Ramos,Kristen West
silk,115,Australia,shawl,955.45,2022,11,Helen Watson,Edward Clark
linen,408,Spain,pants,3.66,2020,10,Jesse Brown,Christopher Hinton
rayon,227,New Zealand,blouse,863.04,2020,12,Nancy Thornton,Jacob Alvarez
silk,394,United Kingdom,shirt,482.69,2020,9,Rhonda Wilkerson,Alyssa Hampton
cotton,402,France,jacket,203.47,2022,4,Donna Wright,Carol Boyd DVM
silk,415,Canada,shawl,675.95,2022,1,Travis Hampton,Stephen Nguyen
cotton,75,New Zealand,skirt,252.55,2021,10,Donna Melton,Donna Nash
cotton,263,Canada,skirt,318.42,2022,12,Jason Dillon,Danielle Lee
batik,2,Hong Kong,skirt,926.54,2021,4,Savannah Brooks,Dr. Angel Craig
polyester,283,South Korea,headwear,910.07,2021,1,Leslie Randolph,Jeffery Ewing
polyester,45,France,bags,463.02,2022,8,Erica Sandoval,Kevin Richards
silk,452,Canada,scarf,605.85,2022,1,Joshua Christensen,Adam Riley
cotton,358,Germany,blouse,319.11,2021,2,Christopher Walker,Aimee Gonzales
wool,434,Germany,jacket,284.06,2021,4,Christopher Henson,Sara Cummings
cotton,311,Australia,jacket,321.04,2021,12,Randy Lee,Nicole Odom
rayon,39,Netherlands,scarf,819.02,2022,5,Brittany Hall,Holly Hill
rayon,401,United States,skirt,545.45,2020,10,Tracy Brady,Evan Mcmillan
polyester,10,New Zealand,blouse,411.31,2021,6,Diane Guerrero,Michelle Rivera
silk,236,China,shawl,842.79,2020,8,Gavin Goodman,Deborah Lee
rayon,383,United States,blouse,719.16,2020,3,Kayla Wade,Monica Guerrero
linen,63,Hong Kong,pants,455.88,2021,12,Alyssa Lewis,Katherine Lowery
silk,264,Germany,bags,602.16,2022,1,Grant Rodriguez,Ariel Williams
cotton,113,Australia,jacket,132.71,2020,4,Rhonda Butler,Steven Rowe
wool,46,South Korea,shawl,312.03,2020,5,Erika Bright,Thomas Howard
wool,104,Japan,jacket,297.76,2020,7,Tonya Smith,Kelly Larson
cotton,355,Italy,shirt,410.9,2022,2,Jeffrey Stewart,Joshua Mendez
polyester,422,Netherlands,shirt,913.61,2021,7,Jacqueline Richard,Colin Graham
polyester,413,Japan,scarf,802.17,2022,12,Amanda Mcdaniel,Jenny Shaw
linen,410,Netherlands,jacket,739.68,2022,4,Michael Simmons Jr.,Matthew Joseph
linen,238,Netherlands,jacket,13.51,2022,7,Antonio Schneider,Andrew Jordan
silk,317,Netherlands,pants,111.6,2020,3,Kelsey Williams,James Hooper
polyester,190,Italy,skirt,853.59,2020,10,Jessica Blackwell,Jennifer Roberts
wool,489,United Kingdom,blouse,521.29,2020,6,Donna Arnold,Christopher Davenport
silk,238,Australia,shirt,163.29,2021,4,Judy Young,Sabrina Ford
polyester,28,Italy,pants,283.49,2022,1,Richard Barton,Calvin Murphy
wool,162,Germany,dress,60.62,2021,12,Matthew Sullivan,Kimberly Williams
polyester,356,Italy,headwear,285.59,2022,10,Catherine Valdez,Leroy Sullivan
cotton,335,United Kingdom,jacket,214.37,2020,6,Mary Flores,Mary Moore
rayon,269,Australia,blouse,210.67,2021,4,Sara Sanders,William Salazar
rayon,100,Australia,shawl,3.69,2022,10,Erik Johnson,David Roberts
rayon,280,United States,shirt,248.18,2022,1,Bobby Gray,Stephen Hansen
cotton,337,Japan,shirt,84.45,2020,2,Angela Gaines,Tina Espinoza
linen,452,India,dress,241.91,2021,11,Megan Gomez,David Casey
batik,80,Germany,dress,196.43,2022,12,Jon Morales,Ashley Gray
polyester,304,Spain,pants,811.87,2021,11,Paul Saunders,Aaron Murillo
cotton,202,China,headwear,552.79,2021,2,Kimberly Jones,Richard Howard
silk,492,Spain,headwear,526.43,2022,10,Julia Cox,Robert Davidson
wool,124,Netherlands,scarf,696.73,2022,11,Zachary Nelson,Phillip Gentry
cotton,6,China,blouse,17.58,2020,10,Patrick Brown,Kellie Carter
linen,414,India,jacket,414.54,2022,2,Lydia Compton,Kyle Castillo
linen,63,Germany,blouse,598.68,2021,7,Duane Lopez,Brian Williams
batik,71,Australia,pants,777.39,2022,11,Crystal Macias,John Matthews
silk,347,Germany,skirt,785.47,2020,12,Nicholas Ross,Angela Banks
wool,37,Canada,dress,160.83,2021,6,Kaitlyn Smith,Jared Thomas
linen,368,South Korea,shirt,534.88,2021,7,Joshua David,Alex Ritter
polyester,481,South Korea,jacket,84.64,2022,7,Morgan Goodman,Mary Nelson
wool,4,South Korea,pants,291.12,2021,2,Alex Richardson,Patrick Jennings
silk,485,Australia,shirt,539.15,2020,1,Nancy Tyler,Kevin Barrera
cotton,396,India,shawl,88.65,2020,6,Heidi Jones,Steven Meza
rayon,88,Hong Kong,jacket,5.75,2022,7,Samuel Lopez,David Johnson
cotton,305,South Korea,dress,540.69,2021,6,Stephanie Williams,Kevin Williams
rayon,176,Italy,headwear,633.94,2020,12,Paula Odom,Devin Moreno
linen,215,United Kingdom,blouse,576.93,2020,2,Deborah Moss,Robert Lopez
linen,268,Australia,blouse,505.31,2022,2,Shannon Curry,Shawn Oliver
batik,307,China,shirt,639.86,2020,11,Olivia Campbell,Eugene Stewart
cotton,36,Italy,dress,625.08,2022,4,Karen Hernandez,Latoya Cook
silk,203,Netherlands,jacket,188.83,2022,10,Lisa Francis,Tiffany Castro
polyester,392,Australia,jacket,211.89,2022,12,Allison Ball,Cory Harris
linen,346,New Zealand,shawl,626.25,2022,12,Marc Watson,Victoria Villanueva
wool,133,New Zealand,dress,544.66,2021,5,Spencer Nichols,Hannah Walter
silk,308,Japan,jacket,976.05,2020,6,Melinda Smith,Christopher George
silk,40,Germany,jacket,241.58,2022,6,Mark Hardy,Sonia Reed
wool,429,United States,jacket,760.02,2020,3,Timothy Mcclure,Penny Walton
rayon,464,Netherlands,skirt,411.18,2020,6,David Johnson,Kathleen Palmer
batik,25,China,headwear,546.37,2022,12,Anthony Rice,Anita Lynch
linen,6,Spain,shirt,848.73,2020,7,Paige Wilson,Christopher Kaufman
wool,433,Netherlands,dress,891.88,2022,11,Kathleen Foster,Angela Simmons
polyester,193,United States,scarf,308.72,2022,5,Madeline Thomas,Casey Green
rayon,24,New Zealand,skirt,12.41,2022,5,Sheila Mcdonald,Benjamin Gonzalez
silk,332,Germany,pants,971.51,2022,4,Scott Blair,Amy Benson
batik,443,Australia,headwear,589.16,2022,8,Regina Johnson,Jennifer Smith
wool,484,United States,shirt,56.03,2020,5,Teresa Aguirre,Donald Lyons
silk,16,Japan,shirt,613.65,2022,5,Jerry Gregory,Nicole Garcia
rayon,275,Hong Kong,blouse,900.8,2021,11,Micheal Ruiz,Kenneth Harding
polyester,417,India,shirt,601.67,2021,4,Gina Moon,Wendy Powell
silk,170,South Korea,shirt,862.81,2022,8,Lindsay Johnson PhD,Teresa Murphy
rayon,452,South Korea,shirt,261.59,2021,2,Brandon Rangel,Haley Grant
rayon,34,India,dress,558.11,2021,2,Erica Kent,Aaron Herrera
linen,57,United States,dress,17.41,2021,10,Richard Vega,Hunter Montgomery
silk,330,United States,shawl,943.33,2022,10,Julian Davis,Julia Vasquez
batik,81,Netherlands,shirt,594.74,2022,4,Nancy Gonzalez,Dr. Justin Ramos
linen,197,India,bags,644.48,2022,6,Clifford Mullins,Alexis Jenkins
linen,276,India,blouse,895.32,2022,9,Elizabeth Hunter,Donna Johnson
cotton,148,India,dress,195.4,2020,1,Brad Rodriguez,Mark Moore
polyester,299,China,scarf,657.91,2021,12,Chad Martin,Jodi Newman
wool,208,France,jacket,733.77,2022,8,Victoria Maxwell,Chelsea Wolf
wool,243,South Korea,bags,294.47,2022,5,Joan Woodward,Sarah Williamson
rayon,435,Spain,shirt,794.02,2020,8,Anita Thomas,Jason Robinson
linen,461,Hong Kong,skirt,465.3,2021,11,David Allen,Crystal Reese
polyester,3,France,shawl,847.17,2020,3,Melanie Lloyd,Nicholas Harrison
polyester,187,India,skirt,55.33,2020,6,Kevin Hamilton,Megan Benitez
batik,288,Italy,skirt,720.3,2021,10,Christine Warner,Jennifer Henry
batik,479,Hong Kong,bags,873.03,2021,2,Curtis Gray,Victoria Jones DDS
linen,57,France,bags,539.11,2022,7,Paul Roberts,Marvin Rodriguez
rayon,14,India,pants,370.71,2022,5,Connie Santos,Angela Valenzuela
rayon,403,Netherlands,shirt,106.47,2021,12,Kelli Wells,Robert Mendoza
rayon,304,Australia,blouse,22.05,2022,8,Blake Archer,Angela Ramos
wool,270,Spain,blouse,823.23,2022,12,Michael Spencer,Christopher Cox
rayon,313,Hong Kong,shawl,525.48,2022,1,Dillon Perez,Tiffany Scott
batik,445,Italy,bags,485.63,2020,8,Sandra Parker,Chelsea Graham
batik,264,Netherlands,bags,633.17,2022,10,Christina Walter,Jeffrey Wheeler
cotton,372,South Korea,jacket,685.29,2022,9,William Williams,Adrienne Wiley
wool,266,Australia,skirt,344.98,2020,7,Audrey Lee,Michelle Turner
polyester,251,Netherlands,blouse,378.5,2022,1,David Wright,Dr. Christina Torres
batik,381,Spain,bags,926.11,2021,7,Corey Huff,Jacob Roy
silk,94,New Zealand,jacket,232.58,2022,11,Melanie Lewis,Patricia Hanson
batik,101,United Kingdom,bags,927.93,2021,7,Paula Jennings,Alisha Hartman
silk,98,China,jacket,640.86,2021,10,Sandra Sanchez,Colleen Hayes
silk,4,France,pants,932.68,2020,7,Scott Patel,Marcus Kelley
silk,186,New Zealand,dress,424.36,2022,2,Damon Taylor,Amanda Whitaker
polyester,205,Germany,pants,120.43,2021,11,James Anderson,Amanda Wiggins
rayon,105,China,scarf,796.39,2022,4,Misty Tucker,William Cobb
polyester,368,Germany,scarf,340.3,2020,10,Isaac Sanchez,Andrew Cruz
polyester,469,Australia,jacket,954.66,2021,1,Taylor Shaw,Elizabeth Garcia
silk,228,Italy,pants,280.12,2022,2,Rachel Cummings,Anthony Freeman
batik,499,Canada,jacket,579.22,2020,11,Lori Watson,Darryl Santos
